0000 | 13a6
0010 | 13a6
0020 | 13a6
0030 | 13a6
0040 | 13a6
0050 | 15d2
0060 | 15d2
0070 | 13a6
0080 | 13a6
0090 | 138d
00a0 | 138d
00b0 | 15d2
00c0 | 15d3
00d0 | 15eb
00e0 | 15d2
00f0 | 13a6
0100 | 13a6
0110 | 13a6
0120 | 13a6
0130 | 15ec
0140 | 15d2
0150 | 15d2
0160 | 15d2
0170 | 138d
0180 | 13a6
0190 | 13a6
01a0 | 45cf
01b0 | 4a40
01c0 | 15b9
01d0 | 15d2
01e0 | 48ab
01f0 | 4813
0200 | 14d5
0210 | 14bc
0220 | 14bc
0230 | 1701
0240 | 1701
0250 | 16e8
0260 | 1702
0270 | 14bc
0280 | 14d5
0290 | 14bc
02a0 | 46b2
02b0 | 49db
02c0 | 1701
02d0 | 16e8
02e0 | 16e8
02f0 | 14a3
0300 | 14d5
0310 | 14d5
0320 | 14d5
0330 | 16e8
0340 | 16e8
0350 | 16e9
0360 | 4aa5
0370 | 4763
0380 | 46b2
0390 | 46fd
03a0 | 14d5
03b0 | 16e8
03c0 | 16e8
03d0 | 16e8
03e0 | 16e8
03f0 | 14bc
0400 | 46e5
0410 | 4796
0420 | 14bc
0430 | 16e8
0440 | 16e8
0450 | 16e9
0460 | 16cf
0470 | 14bc
0480 | 14d6
0490 | 14bc
04a0 | 46cb
04b0 | 495d
04c0 | 4a40
04d0 | 4a0d
04e0 | 16ce
04f0 | 1702
0500 | 4aa5
0510 | 4a8c
0520 | 1702
0530 | 1701
0540 | 171b
0550 | 171b
0560 | 171b
0570 | 171b
0580 | 4a72
0590 | 4a59
05a0 | 49da
05b0 | 4aa5
05c0 | 1702
05d0 | 1702
05e0 | 4a59
05f0 | 4a8c
0600 | 171a
0610 | 171a
0620 | 171b
0630 | 1702
0640 | 171b
0650 | 171b
0660 | 171b
0670 | 171b
0680 | 171b
0690 | 1702
06a0 | 4a26
06b0 | 4a0d
06c0 | 1701
06d0 | 171b
06e0 | 1701
06f0 | 1701
0700 | 1701
0710 | 1701
0720 | 1702
0730 | 1701
0740 | 4a72
0750 | 4a26
0760 | 1702
0770 | 1701
0780 | 1734
0790 | 1734
07a0 | 171b
07b0 | 1701
07c0 | 171a
07d0 | 1701
07e0 | 171b
07f0 | 15eb
0800 | 15d2
0810 | 15d2
0820 | 15eb
0830 | 1701
0840 | 1702
0850 | 1701
0860 | 1701
0870 | 15eb
0880 | 15eb
0890 | 15ec
08a0 | 4976
08b0 | 4a40
08c0 | 171b
08d0 | 171a
08e0 | 1701
08f0 | 1605
0900 | 15eb
0910 | 15ec
0920 | 4847
0930 | 49c2
0940 | 171b
0950 | 16e8
0960 | 1702
0970 | 1605
0980 | 4943
0990 | 48de
09a0 | 1605
09b0 | 1701
09c0 | 171b
09d0 | 171b
09e0 | 171b
09f0 | 1605
0a00 | 15eb
0a10 | 1604
0a20 | 1605
0a30 | 171b
0a40 | 1702
0a50 | 1702
0a60 | 1702
0a70 | 1605
