0000 | 1cd5
0010 | 1c0b
0020 | 1c6f
0030 | 1b8c
0040 | 1b73
0050 | 17cc
0060 | 1b73
0070 | 1d53
0080 | 1a76
0090 | 1aa9
00a0 | 1992
00b0 | 17b3
00c0 | 17cb
00d0 | 1831
00e0 | 17b3
00f0 | 1b8c
0100 | 1d53
0110 | 1b8c
0120 | 1b8c
0130 | 1b73
0140 | 1c24
0150 | 1ba6
0160 | 1b8c
0170 | 1993
0180 | 19c6
0190 | 1b8d
01a0 | 19c5
01b0 | 1b73
01c0 | 1b73
01d0 | 1deb
01e0 | 1b73
01f0 | 1d53
0200 | 1992
0210 | 15d2
0220 | 1992
0230 | 1993
0240 | 1993
0250 | 1b8c
0260 | 17b2
0270 | 1c0b
0280 | 17b3
0290 | 1b73
02a0 | 1b5a
02b0 | 1b8c
02c0 | 1b8c
02d0 | 1b8c
02e0 | 1ba6
02f0 | 1ba6
0300 | 1ba6
0310 | 1cee
0320 | 1b73
0330 | 1993
0340 | 19ac
0350 | 19ac
0360 | 1a5c
0370 | 1d3a
0380 | 15ec
0390 | 15eb
03a0 | 15b8
03b0 | 1b73
03c0 | 1b8c
03d0 | 1b59
03e0 | 17b2
03f0 | 1b59
0400 | 17cc
0410 | 1b8c
0420 | 1ba5
0430 | 1b73
0440 | 1b8c
0450 | 1b8c
0460 | 1b72
0470 | 1b8c
0480 | 1b73
0490 | 1ba6
04a0 | 1b8c
04b0 | 1a76
04c0 | 1993
04d0 | 1993
04e0 | 1b72
04f0 | 19ab
0500 | 1b8c
0510 | 1c24
0520 | 19ac
0530 | 19ac
0540 | 19ac
0550 | 19ac
0560 | 1b8c
0570 | 1b8c
0580 | 1b8c
0590 | 1d6c
05a0 | 1e69
05b0 | 1b8c
05c0 | 15b8
05d0 | 197a
05e0 | 15d2
05f0 | 1b73
0600 | 1b8c
0610 | 1896
0620 | 1799
0630 | 1b8c
0640 | 1b8c
0650 | 1ba5
0660 | 1b8c
0670 | 1c89
0680 | 1b8c
0690 | 1993
06a0 | 1b5a
06b0 | 1a2a
06c0 | 1b73
06d0 | 1b73
06e0 | 1b73
06f0 | 1b8c
0700 | 1992
0710 | 19c6
0720 | 19ac
0730 | 1b8c
0740 | 1b73
0750 | 1b73
0760 | 1a90
0770 | 1992
0780 | 1979
0790 | 1b8c
07a0 | 1ba6
07b0 | 17b2
07c0 | 1c70
07d0 | 1b73
07e0 | 1799
07f0 | 1b73
0800 | 1b73
0810 | 17b3
0820 | 1b8c
0830 | 1b73
0840 | 17b3
0850 | 1c24
0860 | 1ba5
0870 | 1ba5
0880 | 1b72
0890 | 1b8c
08a0 | 1b73
08b0 | 1ba6
08c0 | 1b73
08d0 | 1979
08e0 | 1b8c
08f0 | 1b8c
0900 | 1992
0910 | 1b73
0920 | 19ac
0930 | 1aa9
0940 | 1b8c
0950 | 1b8c
0960 | 1b73
0970 | 1993
0980 | 1b8c
0990 | 1b73
09a0 | 1d53
09b0 | 1d3a
09c0 | 1d3a
09d0 | 1b73
09e0 | 1b8c
09f0 | 1b8c
0a00 | 15b8
0a10 | 15eb
0a20 | 15eb
0a30 | 15d2
0a40 | 15d2
0a50 | 1650
0a60 | 19ac
0a70 | 1992
0a80 | 15b9
0a90 | 1979
0aa0 | 17b3
0ab0 | 1799
0ac0 | 1b72
0ad0 | 18e2
0ae0 | 1b72
0af0 | 1b59
0b00 | 17b3
0b10 | 17cb
0b20 | 17b2
0b30 | 1b5a
0b40 | 1b73
0b50 | 1799
0b60 | 1b73
0b70 | 1b73
0b80 | 1ba5
0b90 | 1ba6
0ba0 | 1c3e
0bb0 | 1b8c
0bc0 | 1b8c
0bd0 | 1ba6
0be0 | 1b73
0bf0 | 1b73
0c00 | 1b73
0c10 | 1c89
0c20 | 1b73
0c30 | 1c57
0c40 | 1b72
0c50 | 1b73
0c60 | 1979
0c70 | 1b59
0c80 | 1992
0c90 | 1993
0ca0 | 1c89
0cb0 | 19ac
0cc0 | 1b8c
0cd0 | 19c5
0ce0 | 19ac
0cf0 | 1b8c
0d00 | 1b73
0d10 | 1b8d
0d20 | 1d53
0d30 | 1d3a
0d40 | 1b73
0d50 | 1b73
0d60 | 1d53
0d70 | 1b8c
0d80 | 1b73
0d90 | 1d53
0da0 | 1d39
0db0 | 1e36
0dc0 | 1d53
0dd0 | 15b9
0de0 | 15d2
0df0 | 15d2
0e00 | 15d2
0e10 | 15eb
0e20 | 1979
0e30 | 1a76
0e40 | 1993
0e50 | 19ac
0e60 | 15d2
0e70 | 169c
0e80 | 1992
0e90 | 1979
0ea0 | 17b2
0eb0 | 1863
0ec0 | 17b2
0ed0 | 17cc
0ee0 | 17cb
0ef0 | 1b73
0f00 | 1b73
0f10 | 1799
0f20 | 17b2
